# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,31.981661002678507,91.67148887475626,-0.10391427380953738,-9.623317022191602,0.0,0.0
 0.1003483772668964,0.025174492050248427,0.250870943167241,2.5,31.981661002678507,92.39099555005315,-0.10391427380953738,-9.623317022191602,0.0,0.0
 0.14145778062434208,0.050025759247911236,0.6045153947280963,8.602519683536192,31.83273804439781,93.11050222535003,-0.10739465328649045,-9.311450518233514,-3.6226008192289614,-88.12097776585318
 0.17269197797658484,0.07455629814366319,0.7853743965023179,5.790416181808337,31.68080844453847,93.83000890064693,-0.11100829182617653,-9.008336076064122,-4.864206950668803,-39.75149793150323
 0.1987647946240066,0.09876860895480884,0.9286419315014789,5.494900567765401,31.525798662602387,94.54951557594381,-0.11476079251490491,-8.713777398061467,-5.945264143581318,-41.46299985657349
 0.22150864152365346,0.12266519567413608,1.0506835903691507,5.365919820255503,31.367633177385326,95.2690222512407,-0.1186580046138051,-8.427581461989766,-6.954209897513788,-44.361262120003815
 0.24186654682457037,0.14624856618210527,1.1584379708705592,5.292999397956493,31.20623443728707,95.98852892653758,-0.12270603414122636,-8.149558471175652,-7.928062230006669,-47.83656855153062
 0.26040063929450247,0.16952123236246402,1.2556679652976837,5.246007841218063,31.041522810211465,96.70803560183447,-0.12691125446278717,-7.879521829903741,-8.886953992639278,-51.73664500639676
 0.2774784389615656,0.19248571022136832,1.3446976956401722,5.213185075252668,30.873416533080466,97.42754227713135,-0.13128031746880148,-7.617288099852806,-9.843555985447805,-56.014358492181294
 0.2933561112437235,0.21514452001009987,1.427086375513226,5.188964629635019,30.70183166110347,98.14704895242825,-0.13582016481752113,-7.362676973213315,-10.806676755119248,-60.65881399717023
 0.30822082106921983,0.23750018635146022,1.5039423307823585,5.1703636445904495,30.52668201694296,98.86655562772513,-0.14053803974102236,-7.115511229861739,-11.782917138421709,-65.67503804399809
 0.32221436241727086,0.2595552383699211,1.5760879587162286,5.1556376001932005,30.347879139863345,99.58606230302202,-0.1454414988269951,-6.875616712321669,-12.777528763619152,-71.07647738761764
 0.3354472893469947,0.2813122098256161,1.6441541294106623,5.143697313218232,30.165332235065737,100.3055689783189,-0.15053842445500867,-6.642822280226995,-13.794900082730262,-76.88180585550495
 0.34800783856243606,0.30277363925224654,1.7086378197735759,5.133827291854426,29.978948123356673,101.0250756536158,-0.15583703709119492,-6.4169597848219215,-14.83885047637313,-83.11343522777517
 0.3599678152829658,0.32394207009897863,1.7699391346135078,5.125537973222476,29.788631191352433,101.74458232891268,-0.16134590800828374,-6.197864032279384,-15.912817930285229,-89.79678464328391
 0.3713866184322759,0.3448200508764024,1.8283860842881037,5.118482989009851,29.59428334245875,102.46408900420957,-0.16707397209387978,-5.985372751167336,-17.01998417456092,-96.95992038732938
 0.38231407785045735,0.36541013530661404,1.8842517407068289,5.112410330783211,29.395803948793883,103.18359567950645,-0.1730305408019838,-5.779326559144263,-18.163361314765275,-104.63339157333932
 0.3927925062816183,0.38571488247748803,1.9377664603301858,5.107132235995784,29.193089804433235,103.90310235480334,-0.17922531520850013,-5.579568928846124,-19.345853788323367,-112.85017417703303
 0.40285821674687744,0.4057368570011853,1.9891268075712367,5.102505920304031,28.98603508017313,104.62260903010024,-0.18566839899307547,-5.385946156821738,-20.570304001365194,-121.64568186894554
 0.41254266648527455,0.42547862917695123,2.038502208080379,5.098420854349385,28.774531280192235,105.34211570539712,-0.19237031142456232,-5.1983073302459575,-21.839526838817296,-131.057816575769
 0.4218733341458007,0.44494277515823605,2.0860400015776848,5.094790129372712,28.558467200974746,106.061622380694,-0.19934200013875486,-5.016504295652375,-23.156336403616148,-141.12704607084873
 0.4308744026391753,0.4641318771241655,2.1318693419624437,5.091544455915691,28.337728892856067,106.7811290559909,-0.20659485373358236,-4.840391626064247,-24.52356720551111,-151.8965001656564
 0.4395672978989126,0.48304852345537846,2.176104251345221,5.088627903715748,28.11219962467572,107.50063573128779,-0.21414071389104877,-4.669826591260844,-25.944091288540175,-163.41207855206537
 0.4479711191200766,0.5016953089142347,2.218846042547479,5.0859948203821626,27.881759851977478,108.22014240658467,-0.22199188720639434,-4.504669123652532,-27.420832337307534,-175.72256832979343
 0.4561029861026483,0.5200748348293817,2.2601852630568136,5.083607564896604,27.646287189322628,108.93964908188156,-0.2301611561362925,-4.344781790233269,-28.95677747305926,-188.8797663615963
 0.4639783224611467,0.5381897092846496,2.300203271409481,5.081434815096311,27.405656387252428,109.65915575717844,-0.23866178937771126,-4.190029759717332,-30.554987255945466,-202.9386060649406
 0.47161108863648665,0.5560425473122304,2.3389735277440953,5.079450286302985,27.159739314552077,110.37866243247532,-0.24750755113544004,-4.040280772899669,-32.218604245321245,-217.95728457536342
 0.4790139751990837,0.5736359710900711,2.376562659588938,5.077631749047898,26.908404946509087,111.09816910777222,-0.25671270924569833,-3.8954051123464457,-33.950860372878694,-233.9973891143551
 0.48619856443366527,0.5909726101433926,2.4130313490818693,5.075960267484264,26.65151935987999,111.8176757830691,-0.2662920418692689,-3.7552755725645426,-35.755083309791424,-251.12402087351967
 0.4931754663606907,0.6080551015502121,2.448435076985886,5.074419602614491,26.388945735420336,112.53718245836599,-0.27626084254606964,-3.6197674298819194,-37.63470193590645,-269.40591193266084
